"","id","variable","actual_value"
"212",8,"risk_severity",0.714285714285714
"213",8,"risk_fear_spread",0.571428571428571
"214",8,"risk_fear_contagion_self",0.571428571428571
"215",8,"risk_fear_contagion_others",0.571428571428571
"216",8,"risk_fear_restrictions",0.428571428571429
"217",9,"automaticity_carry_mask",0.857142857142857
"218",9,"automaticity_put_on_mask",1
"219",9,"inst_attitude_protects_self",1
"220",9,"inst_attitude_protects_others",1
"221",9,"inst_attitude_sense_of_community",1
"222",9,"inst_attitude_enough_oxygen",0.857142857142857
"223",9,"inst_attitude_no_needless_waste",1
"224",9,"norms_family_friends",1
"225",9,"norms_risk_groups",1
"226",9,"norms_officials",1
"227",9,"norms_people_present_indoors",1
"228",9,"aff_attitude_comfortable",0.714285714285714
"229",9,"aff_attitude_calm",0.714285714285714
"230",9,"aff_attitude_safe",0.857142857142857
"231",9,"aff_attitude_responsible",1
"232",9,"aff_attitude_difficult_breathing",0.714285714285714
"233",9,"effective_means_handwashing",1
"234",9,"effective_means_masks",1
"235",9,"effective_means_distance",1
"236",9,"effective_means_ventilation",1
"237",9,"risk_likely_contagion",0.625
"238",9,"risk_contagion_absent_protection",0.5
"239",9,"risk_severity",0.857142857142857
"240",9,"risk_fear_spread",1
"241",9,"risk_fear_contagion_self",1
"242",9,"risk_fear_contagion_others",1
"243",9,"risk_fear_restrictions",0.714285714285714
"244",10,"automaticity_carry_mask",0.571428571428571
"245",10,"automaticity_put_on_mask",0.857142857142857
"246",10,"inst_attitude_protects_self",0.714285714285714
"247",10,"inst_attitude_protects_others",0.857142857142857
"248",10,"inst_attitude_sense_of_community",0.571428571428571
"249",10,"inst_attitude_enough_oxygen",0.285714285714286
"250",10,"inst_attitude_no_needless_waste",0.285714285714286
"251",10,"norms_family_friends",0.571428571428571
"252",10,"norms_risk_groups",1
"253",10,"norms_officials",1
"254",10,"norms_people_present_indoors",0.142857142857143
"255",10,"aff_attitude_comfortable",0.285714285714286
"256",10,"aff_attitude_calm",0.428571428571429
"257",10,"aff_attitude_safe",0.714285714285714
"258",10,"aff_attitude_responsible",0.714285714285714
"259",10,"aff_attitude_difficult_breathing",0.714285714285714
"260",10,"effective_means_handwashing",0.571428571428571
"261",10,"effective_means_masks",0.714285714285714
"262",10,"effective_means_distance",0.428571428571429
"263",10,"effective_means_ventilation",0.428571428571429
"264",10,"risk_likely_contagion",0.25
"265",10,"risk_contagion_absent_protection",0.25
"266",10,"risk_severity",0.428571428571429
"267",10,"risk_fear_spread",0.714285714285714
"268",10,"risk_fear_contagion_self",0.571428571428571
"269",10,"risk_fear_contagion_others",0.857142857142857
"270",10,"risk_fear_restrictions",0.857142857142857
"271",11,"automaticity_carry_mask",1
"272",11,"automaticity_put_on_mask",1
"273",11,"inst_attitude_protects_self",0.714285714285714
"274",11,"inst_attitude_protects_others",0.714285714285714
"275",11,"inst_attitude_sense_of_community",0.857142857142857
"276",11,"inst_attitude_enough_oxygen",0.428571428571429
"277",11,"inst_attitude_no_needless_waste",0.571428571428571
"278",11,"norms_family_friends",0.714285714285714
"279",11,"norms_risk_groups",1
"280",11,"norms_officials",1
"281",11,"norms_people_present_indoors",0.857142857142857
"282",11,"aff_attitude_comfortable",0.428571428571429
"283",11,"aff_attitude_calm",0.571428571428571
"284",11,"aff_attitude_safe",0.571428571428571
"285",11,"aff_attitude_responsible",0.285714285714286
"286",11,"aff_attitude_difficult_breathing",0.714285714285714
"287",11,"effective_means_handwashing",0.857142857142857
"288",11,"effective_means_masks",0.857142857142857
"289",11,"effective_means_distance",0.857142857142857
"290",11,"effective_means_ventilation",0.714285714285714
"291",11,"risk_likely_contagion",0.375
"292",11,"risk_contagion_absent_protection",0.625
"293",11,"risk_severity",0.571428571428571
"294",11,"risk_fear_spread",0.714285714285714
"295",11,"risk_fear_contagion_self",0.428571428571429
"296",11,"risk_fear_contagion_others",0.714285714285714
"297",11,"risk_fear_restrictions",0.285714285714286
"298",12,"automaticity_carry_mask",0.857142857142857
"299",12,"automaticity_put_on_mask",0.857142857142857
"300",12,"inst_attitude_protects_self",0.714285714285714
"301",12,"inst_attitude_protects_others",1
"302",12,"inst_attitude_sense_of_community",0.857142857142857
"303",12,"inst_attitude_enough_oxygen",0.857142857142857
"304",12,"inst_attitude_no_needless_waste",0.428571428571429
"305",12,"norms_family_friends",1
"306",12,"norms_risk_groups",1
"307",12,"norms_officials",1
"308",12,"norms_people_present_indoors",0.857142857142857
"309",12,"aff_attitude_comfortable",0.571428571428571
"310",12,"aff_attitude_calm",0.714285714285714
"311",12,"aff_attitude_safe",0.714285714285714
"312",12,"aff_attitude_responsible",0.857142857142857
"313",12,"aff_attitude_difficult_breathing",0.428571428571429
"314",12,"effective_means_handwashing",1
"315",12,"effective_means_masks",1
"316",12,"effective_means_distance",0.857142857142857
"317",12,"effective_means_ventilation",0.857142857142857
"318",12,"risk_likely_contagion",0.5
"319",12,"risk_contagion_absent_protection",0.625
"320",12,"risk_severity",0.714285714285714
"321",12,"risk_fear_spread",1
"322",12,"risk_fear_contagion_self",1
"323",12,"risk_fear_contagion_others",1
"324",12,"risk_fear_restrictions",0.571428571428571
"325",13,"automaticity_carry_mask",0.714285714285714
"326",13,"automaticity_put_on_mask",1
"327",13,"inst_attitude_protects_self",0.714285714285714
"328",13,"inst_attitude_protects_others",0.714285714285714
"329",13,"inst_attitude_sense_of_community",0.571428571428571
"330",13,"inst_attitude_enough_oxygen",0.857142857142857
"331",13,"inst_attitude_no_needless_waste",0.857142857142857
"332",13,"norms_family_friends",1
"333",13,"norms_risk_groups",1
"334",13,"norms_officials",0.857142857142857
"335",13,"norms_people_present_indoors",0.714285714285714
"336",13,"aff_attitude_comfortable",0.714285714285714
"337",13,"aff_attitude_calm",0.857142857142857
"338",13,"aff_attitude_safe",0.714285714285714
"339",13,"aff_attitude_responsible",0.857142857142857
"340",13,"aff_attitude_difficult_breathing",0.285714285714286
"341",13,"effective_means_handwashing",0.714285714285714
"342",13,"effective_means_masks",0.857142857142857
"343",13,"effective_means_distance",0.571428571428571
"344",13,"effective_means_ventilation",0.714285714285714
"345",13,"risk_likely_contagion",0.125
"346",13,"risk_contagion_absent_protection",0.25
"347",13,"risk_severity",0.285714285714286
"348",13,"risk_fear_spread",0.571428571428571
"349",13,"risk_fear_contagion_self",0.285714285714286
"350",13,"risk_fear_contagion_others",0.714285714285714
"351",13,"risk_fear_restrictions",0.285714285714286
"352",14,"automaticity_carry_mask",1
"353",14,"automaticity_put_on_mask",0.714285714285714
"354",14,"inst_attitude_protects_self",0.428571428571429
"355",14,"inst_attitude_protects_others",0.857142857142857
"356",14,"inst_attitude_sense_of_community",0.857142857142857
"357",14,"inst_attitude_enough_oxygen",1
"358",14,"inst_attitude_no_needless_waste",0.571428571428571
"359",14,"norms_family_friends",0.857142857142857
"360",14,"norms_risk_groups",0.857142857142857
"361",14,"norms_officials",0.857142857142857
"362",14,"norms_people_present_indoors",0.571428571428571
"363",14,"aff_attitude_comfortable",0.714285714285714
"364",14,"aff_attitude_calm",0.857142857142857
"365",14,"aff_attitude_safe",0.857142857142857
"366",14,"aff_attitude_responsible",0.857142857142857
"367",14,"aff_attitude_difficult_breathing",0.857142857142857
"368",14,"effective_means_handwashing",0.285714285714286
"369",14,"effective_means_masks",0.714285714285714
"370",14,"effective_means_distance",1
"371",14,"effective_means_ventilation",1
"372",14,"risk_likely_contagion",0.375
"373",14,"risk_contagion_absent_protection",0.875
"374",14,"risk_severity",0.571428571428571
"375",14,"risk_fear_spread",0.571428571428571
"376",14,"risk_fear_contagion_self",0.571428571428571
"377",14,"risk_fear_contagion_others",1
"378",14,"risk_fear_restrictions",0.857142857142857
"379",15,"automaticity_carry_mask",0.857142857142857
"380",15,"automaticity_put_on_mask",0.857142857142857
"381",15,"inst_attitude_protects_self",0.857142857142857
"382",15,"inst_attitude_protects_others",0.857142857142857
"383",15,"inst_attitude_sense_of_community",0.857142857142857
"384",15,"inst_attitude_enough_oxygen",0.571428571428571
"385",15,"inst_attitude_no_needless_waste",0.428571428571429
"386",15,"norms_family_friends",0.857142857142857
"387",15,"norms_risk_groups",0.857142857142857
"388",15,"norms_officials",0.857142857142857
"389",15,"norms_people_present_indoors",0.857142857142857
"390",15,"aff_attitude_comfortable",0.428571428571429
"391",15,"aff_attitude_calm",0.714285714285714
"392",15,"aff_attitude_safe",0.714285714285714
"393",15,"aff_attitude_responsible",0.857142857142857
"394",15,"aff_attitude_difficult_breathing",0.714285714285714
"395",15,"effective_means_handwashing",1
"396",15,"effective_means_masks",1
"397",15,"effective_means_distance",1
"398",15,"effective_means_ventilation",0.714285714285714
"399",15,"risk_likely_contagion",0.25
"400",15,"risk_contagion_absent_protection",0.625
"401",15,"risk_severity",0.714285714285714
"402",15,"risk_fear_spread",0.714285714285714
"403",15,"risk_fear_contagion_self",0.857142857142857
"404",15,"risk_fear_contagion_others",0.857142857142857
"405",15,"risk_fear_restrictions",0.428571428571429
"406",16,"automaticity_carry_mask",1
"407",16,"automaticity_put_on_mask",1
"408",16,"inst_attitude_protects_self",1
"409",16,"inst_attitude_protects_others",1
"410",16,"inst_attitude_sense_of_community",0.714285714285714
"411",16,"inst_attitude_enough_oxygen",0.857142857142857
"412",16,"inst_attitude_no_needless_waste",1
"413",16,"norms_family_friends",1
"414",16,"norms_risk_groups",1
"415",16,"norms_officials",1
"416",16,"norms_people_present_indoors",0.857142857142857
"417",16,"aff_attitude_comfortable",0.714285714285714
"418",16,"aff_attitude_calm",0.857142857142857
"419",16,"aff_attitude_safe",0.571428571428571
"420",16,"aff_attitude_responsible",0.857142857142857
"421",16,"aff_attitude_difficult_breathing",0.285714285714286
"422",16,"effective_means_handwashing",1
"423",16,"effective_means_masks",1
"424",16,"effective_means_distance",1
"425",16,"effective_means_ventilation",1
"426",16,"risk_likely_contagion",0.25
"427",16,"risk_contagion_absent_protection",0.25
"428",16,"risk_severity",0.714285714285714
"429",16,"risk_fear_spread",0.857142857142857
